material,number_density_cm^-3,macro_absorption_cm^-1,macro_scattering_cm^-1,macro_total_cm^-1,total_mean_free_path_cm,absorption_mean_free_path_cm,collision_absorption_probability
Water,3.3427923820308293e+22,0.022236254925269074,3.443076153491754,3.4653124084170233,0.2885742704095203,44.97160170904541,0.006416811041699624
Lead,3.2988078004826253e+22,0.005212116324762548,0.37015922329215534,0.3753713396169179,2.664028641665988,191.86064502226122,0.013885227172862292
Graphite,8.373137181916577e+22,0.0003767911731862459,0.39688670242284574,0.39726349359603197,2.5172209783184276,2653.9899848070622,0.0009484666455896301
