thickness_cm,n,absorbed_count,absorbed_fraction,absorbed_uncertainty,reflected_count,reflected_fraction,reflected_uncertainty,transmitted_count,transmitted_fraction,transmitted_uncertainty,max_steps_count,max_steps_fraction,max_steps_uncertainty,material
3.0,3000.0,77.0,0.025666666666666667,0.002887206775235013,1078.0,0.35933333333333334,0.008760001691188743,1845.0,0.615,0.008883974335847668,0.0,0.0,0.0,Lead
5.0,3000.0,141.0,0.047,0.0038639789509433576,1437.0,0.479,0.009120654216301226,1422.0,0.474,0.009116358922289096,0.0,0.0,0.0,Lead
7.0,3000.0,211.0,0.07033333333333333,0.004668567073366143,1660.0,0.5533333333333333,0.009076628514221852,1129.0,0.37633333333333335,0.00884508442687341,0.0,0.0,0.0,Lead
9.0,3000.0,262.0,0.08733333333333333,0.005154487437247349,1763.0,0.5876666666666667,0.008987297620448458,975.0,0.325,0.008551315688243535,0.0,0.0,0.0,Lead
11.0,3000.0,348.0,0.116,0.005846480422727279,1872.0,0.624,0.008843528707478706,780.0,0.26,0.0080083289975708,0.0,0.0,0.0,Lead
13.0,3000.0,391.0,0.13033333333333333,0.006146721498911854,1984.0,0.6613333333333333,0.008640438946325886,625.0,0.20833333333333334,0.007414637675021744,0.0,0.0,0.0,Lead
15.0,3000.0,447.0,0.149,0.006501256288851666,2021.0,0.6736666666666666,0.008560371660328947,532.0,0.17733333333333334,0.006973431059438442,0.0,0.0,0.0,Lead
17.0,3000.0,460.0,0.15333333333333332,0.006578303282311791,2058.0,0.686,0.0084735667421301,482.0,0.16066666666666668,0.006704547931289846,0.0,0.0,0.0,Lead
19.0,3000.0,516.0,0.172,0.006889992743102129,2086.0,0.6953333333333334,0.008403270968079213,398.0,0.13266666666666665,0.006193174259409096,0.0,0.0,0.0,Lead
21.0,3000.0,580.0,0.19333333333333333,0.00721007525516795,2089.0,0.6963333333333334,0.008395499235150188,331.0,0.11033333333333334,0.005720136621005041,0.0,0.0,0.0,Lead
23.0,3000.0,606.0,0.202,0.00733021145670437,2091.0,0.697,0.008390292009221133,303.0,0.101,0.005501484648104849,0.0,0.0,0.0,Lead
25.0,3000.0,624.0,0.208,0.007410263153222023,2127.0,0.709,0.00829294881209332,249.0,0.083,0.005036897193047852,0.0,0.0,0.0,Lead
27.0,3000.0,652.0,0.21733333333333332,0.007529930401527748,2143.0,0.7143333333333334,0.00824744853923972,205.0,0.06833333333333333,0.004606657822792604,0.0,0.0,0.0,Lead
29.0,3000.0,679.0,0.22633333333333333,0.0076399510372679655,2129.0,0.7096666666666667,0.008287337507484714,192.0,0.064,0.004468556814006061,0.0,0.0,0.0,Lead
